date,location,red_fighter,blue_fighter,winner,weight_class,title_fight,red_submission_attempts,blue_submission_attempts,red_Record,red_Height,red_Weight,red_Reach,red_STANCE,red_DOB,blue_Record,blue_Height,blue_Weight,blue_Reach,blue_STANCE,blue_DOB,red_sig_strike_attempted,red_sig_strike_landed,red_sig_strike_percent,blue_sig_strike_attempted,blue_sig_strike_landed,blue_sig_strike_percent,red_total_strikes_attempted,red_total_strikes_landed,red_total_strikes_percent,blue_total_strikes_attempted,blue_total_strikes_landed,blue_total_strikes_percent,red_takedowns_attempted,red_takedowns_landed,red_takedowns_percent,blue_takedowns_attempted,blue_takedowns_landed,blue_takedowns_percent,Height_diff,Reach_diff,red_age,blue_age,red_sig_strike_defence_percent,blue_sig_strike_defence_percent,red_takedowns_defence_percent,blue_takedowns_defence_percent,red_sig_strike_average,blue_sig_strike_average,red_takedowns_average,blue_takedowns_average,red_sig_strike_defence_average,blue_sig_strike_defence_average,red_takedowns_defence_average,blue_takedowns_defence_average
2021-11-13,"Las Vegas, Nevada, USA    ",Max Holloway,Yair Rodriguez,W,Featherweight,N,1,0, 23-6-0,180.34,145 lbs.,175.26,Orthodox,1991-12-04, 14-3-0 (1 NC),180.34,145 lbs.,180.34,Orthodox,1992-10-06,404.0,230.0,0.5693069306930693,352.0,159.0,0.45170454545454547,434.0,251.0,0.5783410138248848,383.0,186.0,0.4856396866840731,5.0,3.0,0.6,5.0,1.0,0.2,0.0,-5.0800000000000125,30,29,0.5482954545454546,0.43069306930693074,0.8,0.4,0.4445241317680271,0.517663440316796,0.16666666666666666,0.3055555555555555,0.6153077194766383,0.6320070204590762,0.8589751683501684,0.6726190476190477
2021-11-13,"Las Vegas, Nevada, USA    ",Ben Rothwell,Marcos Rogerio de Lima,L,Heavyweight,N,0,0, 39-14-0,193.04,265 lbs.,198.12,Orthodox,1981-10-17, 19-8-1,185.42000000000002,253 lbs.,190.5,Orthodox,1985-06-25,8.0,2.0,0.25,24.0,14.0,0.5833333333333334,8.0,2.0,0.25,24.0,14.0,0.5833333333333334,1.0,0.0,0.0,0.0,0.0,0.0,7.619999999999976,7.6200000000000045,40,36,0.41666666666666663,0.75,1.0,1.0,0.44421515019684044,0.5774476696380715,0.13690476190476192,0.1125,0.43473678106545616,0.6049231891198337,0.8619791666666666,0.7166666666666667
2021-11-13,"Las Vegas, Nevada, USA    ",Felicia Spencer,Leah Letson,W,Women's Featherweight,N,0,0, 9-3-0,167.64000000000001,145 lbs.,172.72,Orthodox,1990-11-29, 5-3-0,170.18,145 lbs.,180.34,Orthodox,1992-08-21,78.0,56.0,0.717948717948718,36.0,17.0,0.4722222222222222,275.0,227.0,0.8254545454545454,90.0,69.0,0.7666666666666667,13.0,4.0,0.3076923076923077,1.0,1.0,1.0,-2.539999999999992,-7.6200000000000045,31,29,0.5277777777777778,0.28205128205128205,0.0,0.6923076923076923,0.5034187735431119,0.40782122905027934,0.2,0.0,0.47755130297186377,0.639240506329114,0.761904761904762,1.0
2021-11-13,"Las Vegas, Nevada, USA    ",Miguel Baeza,Khaos Williams,L,Welterweight,N,5,0, 10-2-0,187.96,170 lbs.,187.96,Orthodox,1992-08-23, 13-2-0,182.88,170 lbs.,195.58,Orthodox,1994-03-30,56.0,31.0,0.5535714285714286,131.0,49.0,0.37404580152671757,57.0,32.0,0.5614035087719298,145.0,60.0,0.41379310344827586,2.0,0.0,0.0,1.0,0.0,0.0,5.0800000000000125,-7.6200000000000045,29,28,0.6259541984732824,0.4464285714285714,1.0,1.0,0.5115589237705369,0.4678265400648448,0.375,0.0,0.640442841290778,0.4347843163659215,1.0,0.75
2021-11-13,"Las Vegas, Nevada, USA    ",Song Yadong,Julio Arce,W,Bantamweight,N,0,0, 18-5-1 (1 NC),172.72,135 lbs.,170.18,Southpaw,1997-12-02, 17-5-0,170.18,145 lbs.,177.8,Southpaw,1989-10-27,80.0,30.0,0.375,78.0,13.0,0.16666666666666666,80.0,30.0,0.375,78.0,13.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,2.539999999999992,-7.6200000000000045,24,32,0.8333333333333334,0.625,1.0,1.0,0.39760964730968934,0.33574525086087076,0.25,0.25555555555555554,0.650426565832848,0.67162896939783,0.7645833333333334,0.9871794871794872
2021-11-13,"Las Vegas, Nevada, USA    ",Thiago Moises,Joel Alvarez,L,Lightweight,N,0,0, 15-6-0,175.26,155 lbs.,177.8,Orthodox,1995-03-23, 19-2-0,190.5,155 lbs.,195.58,Orthodox,1993-03-02,24.0,11.0,0.4583333333333333,73.0,44.0,0.6027397260273972,24.0,11.0,0.4583333333333333,73.0,44.0,0.6027397260273972,0.0,0.0,0.0,0.0,0.0,0.0,-15.240000000000009,-17.78,27,29,0.3972602739726028,0.5416666666666667,1.0,1.0,0.3519087864967934,0.4789450964311729,0.2619047619047619,0.0,0.5427113230334385,0.3462179487179487,0.7142857142857143,0.25
2021-11-13,"Las Vegas, Nevada, USA    ",Cynthia Calvillo,Andrea Lee,L,Women's Flyweight,N,0,0, 9-4-1,162.56,125 lbs.,162.56,Orthodox,1987-07-13, 13-5-0,167.64000000000001,125 lbs.,175.26,Orthodox,1989-02-11,154.0,47.0,0.3051948051948052,210.0,84.0,0.4,154.0,47.0,0.3051948051948052,211.0,85.0,0.4028436018957346,3.0,1.0,0.3333333333333333,1.0,0.0,0.0,-5.0800000000000125,-12.699999999999989,34,33,0.6,0.6948051948051948,1.0,0.6666666666666667,0.43266606649888023,0.540916949053656,0.49714285714285716,0.46904761904761905,0.6490949962575342,0.64083306014111,0.9111111111111111,0.5445578231292517
2021-11-13,"Las Vegas, Nevada, USA    ",Sean Woodson,Collin Anglin,W,Featherweight,N,0,0, 9-1-0,187.96,145 lbs.,198.12,Orthodox,1992-06-07, 8-3-0,175.26,145 lbs.,180.34,Orthodox,1993-02-20,98.0,50.0,0.5102040816326531,40.0,8.0,0.2,107.0,59.0,0.5514018691588785,40.0,8.0,0.2,0.0,0.0,0.0,1.0,0.0,0.0,12.700000000000017,17.78,29,29,0.8,0.4897959183673469,1.0,1.0,0.42369230891476345,0.49019607843137253,0.0,1.0,0.5833147307587371,0.41333333333333333,0.7718954248366012,1.0
2021-11-13,"Las Vegas, Nevada, USA    ",Cortney Casey,Liana Jojua,W,Women's Flyweight,N,0,0, 10-9-0,170.18,125 lbs.,170.18,Orthodox,1987-05-05, 8-5-0,162.56,125 lbs.,157.48,Orthodox,1995-03-22,218.0,89.0,0.40825688073394495,154.0,34.0,0.22077922077922077,257.0,124.0,0.48249027237354086,184.0,57.0,0.30978260869565216,0.0,0.0,0.0,3.0,2.0,0.6666666666666666,7.6200000000000045,12.700000000000017,35,27,0.7792207792207793,0.591743119266055,0.33333333333333337,1.0,0.4409587069754965,0.487962962962963,0.08974358974358974,0.2222222222222222,0.5114784109252771,0.4762183235867446,0.4137362637362637,0.8333333333333334
2021-11-13,"Las Vegas, Nevada, USA    ",Marc Diakiese,Rafael Alves,L,Lightweight,N,0,1, 14-5-0,177.8,155 lbs.,185.42000000000002,Orthodox,1993-03-16, 20-10-0,172.72,155 lbs.,172.72,Orthodox,1990-11-14,13.0,3.0,0.23076923076923078,11.0,6.0,0.5454545454545454,13.0,3.0,0.23076923076923078,11.0,6.0,0.5454545454545454,1.0,0.0,0.0,0.0,0.0,0.0,5.0800000000000125,12.700000000000017,29,31,0.4545454545454546,0.7692307692307692,1.0,1.0,0.4455709538747931,0.47619047619047616,0.34625559625559627,0.0,0.5104901419317467,0.5555555555555556,0.7116402116402116,0.33333333333333337
2021-11-13,"Las Vegas, Nevada, USA    ",Kennedy Nzechukwu,Da-Un Jung,L,Light Heavyweight,N,0,0, 9-2-0,195.58,205 lbs.,210.82,Orthodox,1992-06-13, 15-2-1,193.04,205 lbs.,198.12,Orthodox,1993-12-07,18.0,6.0,0.3333333333333333,49.0,16.0,0.32653061224489793,18.0,6.0,0.3333333333333333,49.0,16.0,0.32653061224489793,0.0,0.0,0.0,0.0,0.0,0.0,2.5400000000000205,12.699999999999989,29,28,0.6734693877551021,0.6666666666666667,1.0,1.0,0.475903418662565,0.4948639715230104,0.0,0.2222222222222222,0.507209029892967,0.5078563272292143,0.8427083333333334,0.9583333333333334
2021-11-06,"New York City, New York, USA    ",Kamaru Usman,Colby Covington,W,Welterweight,Y,0,0, 20-1-0,182.88,170 lbs.,193.04,Orthodox,1987-05-11, 16-3-0,180.34,170 lbs.,182.88,Orthodox,1988-02-22,293.0,123.0,0.4197952218430034,281.0,107.0,0.3807829181494662,336.0,158.0,0.47023809523809523,298.0,119.0,0.39932885906040266,1.0,1.0,1.0,11.0,0.0,0.0,2.539999999999992,10.159999999999997,34,34,0.6192170818505338,0.5802047781569966,1.0,0.0,0.5534926152033832,0.5004317083177118,0.37504618919092597,0.453657616892911,0.5550375671211145,0.5831550027689736,1.0,0.8461538461538461
2021-11-06,"New York City, New York, USA    ",Rose Namajunas,Zhang Weili,W,Women's Strawweight,Y,0,0, 12-4-0,165.1,115 lbs.,165.1,Switch,1992-06-29, 21-3-0,162.56,115 lbs.,160.02,Switch,1989-08-13,168.0,86.0,0.5119047619047619,173.0,83.0,0.4797687861271676,219.0,130.0,0.593607305936073,272.0,162.0,0.5955882352941176,2.0,2.0,1.0,11.0,5.0,0.45454545454545453,2.539999999999992,5.079999999999984,29,32,0.5202312138728324,0.48809523809523814,0.5454545454545454,0.0,0.4420169387518943,0.5700607588496182,0.40606060606060607,0.20138888888888887,0.57393611950538,0.5232843780050703,0.7683982683982684,1.0
2021-11-06,"New York City, New York, USA    ",Frankie Edgar,Marlon Vera,L,Bantamweight,N,0,1, 23-10-1,167.64000000000001,135 lbs.,172.72,Switch,1981-10-16, 18-7-1,172.72,135 lbs.,177.8,Switch,1992-12-02,155.0,94.0,0.6064516129032258,164.0,88.0,0.5365853658536586,202.0,138.0,0.6831683168316832,187.0,110.0,0.5882352941176471,9.0,3.0,0.3333333333333333,0.0,0.0,0.0,-5.079999999999984,-5.0800000000000125,40,29,0.46341463414634143,0.3935483870967742,1.0,0.6666666666666667,0.4440679943686573,0.5126071718704293,0.2641774891774892,0.3186274509803922,0.6717887688576287,0.509776380079815,0.8603641456582632,0.7788515406162465
