date,location,red_fighter,blue_fighter,winner,weight_class,title_fight,red_knockdowns,blue_knockdowns,red_sig_strike,blue_sig_strike,red_sig_strike_percent,blue_sig_strike_percent,red_total_strikes,blue_total_strikes,red_takedowns,blue_takedowns,red_takedown_percent,blue_takedown_percent,red_submission_attempts,blue_submission_attempts,red_reversals,blue_reversals,red_control_time,blue_control_time,red_Record,red_Height,red_Weight,red_Reach,red_STANCE,red_DOB,red_SLpM,red_Str_Acc,red_SApM,red_Str_Def,red_TD_Avg,red_TD_Acc,red_TD_Def,red_Sub_Avg,blue_Record,blue_Height,blue_Weight,blue_Reach,blue_STANCE,blue_DOB,blue_SLpM,blue_Str_Acc,blue_SApM,blue_Str_Def,blue_TD_Avg,blue_TD_Acc,blue_TD_Def,blue_Sub_Avg
"December 01, 2018","Adelaide, South Australia, Australia    ",Keita Nakamura,Salim Touahri,W,Welterweight,N,1,0,41 of 97,34 of 79,42%,43%,55 of 112,42 of 87,0 of 4,0 of 0,0%,---,0,0,0,0,0:00,0:40, 34-10-2 (1 NC),"5' 11""",170 lbs.,"73""",Southpaw,"May 22, 1984",2.23,36%,3.20,58%,1.65,48%,63%,0.3, 10-4-0,"5' 10""",170 lbs.,"72""",Orthodox,"Sep 28, 1989",2.60,46%,2.87,58%,0.00,0%,83%,0.0
"December 01, 2018","Adelaide, South Australia, Australia    ",Elias Garcia,Kai Kara-France,L,Flyweight,N,1,1,16 of 73,86 of 178,21%,48%,20 of 77,157 of 261,1 of 7,0 of 0,14%,---,2,0,1,1,0:28,9:30, 6-2-0,"5' 5""",125 lbs.,"67""",Southpaw,"Sep 13, 1992",1.59,27%,5.05,50%,0.68,14%,33%,1.4, 22-9-0 (1 NC),"5' 4""",125 lbs.,"69""",Orthodox,"Mar 26, 1993",5.02,39%,3.84,66%,0.53,23%,86%,0.0
"December 01, 2018","Adelaide, South Australia, Australia    ",Mizuto Hirota,Christos Giagos,L,Lightweight,N,0,0,19 of 55,31 of 90,34%,34%,47 of 86,63 of 131,0 of 0,5 of 10,---,50%,1,0,0,1,1:06,9:22, 18-10-2,"5' 7""",155 lbs.,"67""",Orthodox,"May 05, 1981",3.36,40%,3.50,54%,1.36,50%,58%,0.1, 19-9-0,"5' 10""",155 lbs.,"71""",Orthodox,"Jan 23, 1990",2.88,41%,2.93,49%,3.31,41%,52%,0.5
"December 01, 2018","Adelaide, South Australia, Australia    ",Alex Gorgees,Damir Ismagulov,L,Lightweight,N,0,0,10 of 31,34 of 55,32%,61%,22 of 43,103 of 137,0 of 0,5 of 11,---,45%,0,0,0,0,0:00,9:46, 6-1-0,"6' 2""",155 lbs.,"74""",Switch,"Aug 11, 1995",0.67,32%,2.27,38%,0.00,0%,54%,0.0, 23-1-0,"5' 10""",155 lbs.,"74""",Orthodox,"Feb 03, 1991",3.75,43%,1.90,65%,1.75,36%,100%,0.0
"November 30, 2018","Las Vegas, Nevada, USA    ",Rafael Dos Anjos,Kamaru Usman,L,Welterweight,N,0,0,62 of 112,130 of 223,55%,58%,84 of 138,227 of 334,0 of 1,12 of 18,0%,66%,2,0,1,0,0:21,18:27, 30-13-0,"5' 8""",155 lbs.,"70""",Southpaw,"Oct 26, 1984",3.49,46%,3.22,61%,1.93,37%,58%,0.6, 20-1-0,"6' 0""",170 lbs.,"76""",Switch,"May 11, 1987",4.66,52%,2.59,58%,3.00,49%,100%,0.1
"November 30, 2018","Las Vegas, Nevada, USA    ",Juan Espino,Justin Frazier,W,Ultimate Fighter 28 Heavyweight Tournament,Y,0,0,22 of 23,4 of 6,95%,66%,44 of 52,17 of 19,2 of 2,0 of 0,100%,---,2,0,0,0,3:21,0:00, 11-2-0,"6' 3""",255 lbs.,"80""",,"Oct 09, 1980",2.38,70%,1.95,40%,8.93,78%,50%,2.4, 10-3-0,"6' 0""",265 lbs.,"75""",Southpaw,"Jun 15, 1989",1.11,66%,6.11,4%,0.00,0%,0%,0.0
"November 30, 2018","Las Vegas, Nevada, USA    ",Pannie Kianzad,Macy Chiasson,L,Ultimate Fighter 28 Women's Featherweight Tournament,Y,0,1,19 of 39,24 of 50,48%,48%,30 of 50,37 of 64,0 of 2,0 of 6,0%,0%,1,2,0,0,0:13,5:31, 16-6-0,"5' 7""",135 lbs.,"66""",Orthodox,"Dec 08, 1991",5.34,49%,4.35,53%,0.31,22%,77%,0.1, 8-1-0,"5' 11""",135 lbs.,"72""",Orthodox,"Jul 27, 1991",4.16,49%,2.17,46%,0.98,21%,64%,0.5
"November 30, 2018","Las Vegas, Nevada, USA    ",Pedro Munhoz,Bryan Caraway,W,Bantamweight,N,1,0,35 of 58,20 of 48,60%,41%,38 of 62,21 of 49,0 of 0,0 of 5,---,0%,0,0,0,0,0:02,0:17, 19-6-0 (1 NC),"5' 6""",135 lbs.,"65""",Orthodox,"Sep 07, 1986",5.55,43%,6.02,57%,0.62,21%,80%,0.7, 21-9-0,"5' 8""",135 lbs.,"68""",Orthodox,"Aug 04, 1984",2.53,34%,3.61,54%,2.57,25%,80%,0.8
"November 30, 2018","Las Vegas, Nevada, USA    ",Darren Stewart,Edmen Shahbazyan,L,Middleweight,N,0,0,34 of 71,22 of 37,47%,59%,46 of 84,27 of 43,1 of 3,8 of 21,33%,38%,0,0,0,0,0:41,9:57, 12-8-0 (2 NC),"6' 0""",205 lbs.,"74""",Orthodox,"Dec 30, 1990",3.05,45%,3.29,48%,1.75,45%,67%,0.1, 11-3-0,"6' 2""",185 lbs.,"74""",Orthodox,"Nov 20, 1997",3.24,50%,4.13,46%,2.71,37%,57%,0.5
"November 30, 2018","Las Vegas, Nevada, USA    ",Ji Yeon Kim,Antonina Shevchenko,L,Women's Flyweight,N,0,0,33 of 128,66 of 134,25%,49%,85 of 188,87 of 167,0 of 0,2 of 2,---,100%,0,0,0,0,1:37,4:54, 9-4-2,"5' 7""",125 lbs.,"72""",Orthodox,"Oct 18, 1989",5.04,34%,5.47,56%,0.00,0%,40%,0.0, 9-4-0,"5' 8""",125 lbs.,"67""",Southpaw,"Nov 20, 1984",3.89,56%,3.05,51%,0.51,50%,52%,0.5
"November 30, 2018","Las Vegas, Nevada, USA    ",Ricky Glenn,Kevin Aguilar,L,Featherweight,N,0,1,74 of 187,86 of 168,39%,51%,77 of 190,103 of 186,0 of 4,0 of 1,0%,0%,0,0,0,0,0:27,2:07, 22-6-2,"6' 0""",155 lbs.,"70""",Southpaw,"Apr 12, 1989",4.03,43%,3.89,52%,0.57,13%,68%,0.4, 17-5-0,"5' 7""",155 lbs.,"73""",Orthodox,"Sep 07, 1988",3.96,40%,4.81,52%,0.16,16%,78%,0.0
"November 30, 2018","Las Vegas, Nevada, USA    ",Joseph Benavidez,Alex Perez,W,Flyweight,N,0,0,35 of 72,14 of 32,48%,43%,42 of 79,14 of 32,1 of 2,1 of 1,50%,100%,0,0,0,0,1:15,0:03, 28-8-0,"5' 4""",125 lbs.,"65""",Southpaw,"Jul 31, 1984",3.52,34%,2.67,61%,1.41,30%,62%,0.6, 24-6-0,"5' 6""",125 lbs.,"65""",Orthodox,"Mar 21, 1992",4.62,47%,3.08,61%,2.92,45%,87%,1.3
"November 30, 2018","Las Vegas, Nevada, USA    ",Maurice Greene,Michel Batista,W,Heavyweight,N,0,0,9 of 15,0 of 0,60%,---,11 of 18,4 of 10,0 of 0,1 of 2,---,50%,1,0,0,0,0:00,1:12, 9-7-0,"6' 7""",258 lbs.,"80""",Orthodox,"Jul 05, 1986",3.28,45%,3.61,45%,0.00,0%,27%,0.4, 4-1-0 (1 NC),"6' 3""",260 lbs.,--,Orthodox,"Apr 20, 1984",0.00,0%,4.03,40%,6.72,50%,0%,0.0
"November 30, 2018","Las Vegas, Nevada, USA    ",Julija Stoliarenko,Leah Letson,L,Women's Featherweight,N,0,0,57 of 158,73 of 179,36%,40%,66 of 168,88 of 196,0 of 4,0 of 1,0%,0%,1,0,0,0,0:02,2:58, 9-6-1,"5' 7""",135 lbs.,"66""",,"Apr 08, 1993",2.32,37%,3.70,49%,0.34,12%,71%,0.3, 5-3-0,"5' 7""",145 lbs.,"71""",,"Aug 21, 1992",3.06,41%,3.84,52%,0.51,50%,76%,0.0
"November 30, 2018","Las Vegas, Nevada, USA    ",Roosevelt Roberts,Darrell Horcher,W,Lightweight,N,0,0,16 of 35,10 of 33,45%,30%,23 of 42,19 of 43,0 of 0,0 of 1,---,0%,1,0,0,0,0:05,0:56, 10-3-0 (1 NC),"6' 2""",155 lbs.,"73""",Orthodox,"Feb 11, 1994",3.14,44%,3.12,53%,1.44,29%,58%,0.9, 13-4-0,"5' 10""",155 lbs.,"70""",Southpaw,"Jul 28, 1987",2.05,44%,4.21,39%,0.35,50%,47%,0.7
"November 30, 2018","Las Vegas, Nevada, USA    ",Tim Means,Ricky Rainey,W,Welterweight,N,0,0,19 of 32,6 of 12,59%,50%,26 of 39,6 of 12,2 of 2,0 of 0,100%,---,0,0,0,0,0:33,0:00, 32-12-1 (1 NC),"6' 2""",170 lbs.,"75""",Orthodox,"Feb 20, 1984",5.06,48%,3.58,61%,0.92,39%,66%,0.2, 12-6-0,"6' 1""",170 lbs.,"77""",Switch,"Jun 29, 1983",2.55,48%,2.62,46%,0.95,18%,55%,0.0
"November 30, 2018","Las Vegas, Nevada, USA    ",Raoni Barcelos,Chris Gutierrez,W,Bantamweight,N,0,0,35 of 63,26 of 52,55%,50%,83 of 118,32 of 60,2 of 2,0 of 1,100%,0%,1,0,0,0,5:23,0:00, 16-2-0,"5' 7""",135 lbs.,"67""",Orthodox,"May 01, 1987",5.39,52%,4.36,66%,1.79,56%,92%,0.6, 17-3-2,"5' 9""",145 lbs.,"67""",Orthodox,"Apr 22, 1991",4.63,59%,2.50,62%,0.48,37%,75%,0.2
"November 24, 2018","Beijing, China    ",Curtis Blaydes,Francis Ngannou,L,Heavyweight,N,0,1,1 of 8,13 of 17,12%,76%,1 of 8,13 of 17,0 of 2,0 of 0,0%,---,0,0,0,0,0:00,0:08, 15-3-0 (1 NC),"6' 4""",265 lbs.,"80""",Orthodox,"Feb 18, 1991",3.44,51%,1.65,59%,6.27,53%,33%,0.0, 16-3-0,"6' 4""",250 lbs.,"83""",Orthodox,"Sep 05, 1986",2.54,41%,2.04,45%,0.20,33%,72%,0.4
"November 24, 2018","Beijing, China    ",Alistair Overeem,Sergei Pavlovich,W,Heavyweight,N,0,0,22 of 26,13 of 32,84%,40%,26 of 31,18 of 37,1 of 2,0 of 2,50%,0%,0,0,0,0,1:56,0:12, 47-19-0 (1 NC),"6' 4""",265 lbs.,"80""",Orthodox,"May 17, 1980",3.67,64%,2.44,57%,1.42,55%,73%,0.8, 14-1-0,"6' 3""",257 lbs.,"84""",Southpaw,"May 13, 1992",6.55,52%,4.59,44%,0.00,0%,50%,0.0
"November 24, 2018","Beijing, China    ",Song Yadong,Vince Morales,W,Bantamweight,N,0,0,79 of 172,74 of 201,45%,36%,86 of 181,83 of 211,2 of 2,0 of 0,100%,---,0,0,0,0,2:42,0:05, 18-5-1 (1 NC),"5' 8""",135 lbs.,"67""",Orthodox,"Dec 02, 1997",4.88,42%,3.77,59%,0.46,42%,60%,0.3, 10-5-0,"5' 7""",135 lbs.,"70""",Orthodox,"Nov 12, 1990",4.39,39%,4.06,55%,0.20,25%,50%,0.0
"November 24, 2018","Beijing, China    ",Li Jingliang,David Zawada,W,Welterweight,N,1,1,89 of 222,73 of 184,40%,39%,97 of 234,74 of 185,1 of 2,0 of 4,50%,0%,0,0,0,0,1:16,0:49, 18-7-0,"6' 0""",170 lbs.,"71""",Orthodox,"Mar 20, 1988",4.42,42%,3.74,58%,1.25,39%,58%,0.0, 17-7-0,"6' 0""",170 lbs.,"75""",Orthodox,"Aug 01, 1990",3.84,41%,4.54,55%,0.97,33%,57%,1.7
"November 24, 2018","Beijing, China    ",Song Kenan,Alex Morono,L,Welterweight,N,0,0,61 of 152,98 of 212,40%,46%,62 of 153,100 of 214,0 of 0,0 of 2,---,0%,0,0,0,0,0:03,0:46, 16-6-0,"6' 0""",170 lbs.,"71""",Orthodox,"Mar 10, 1990",4.39,46%,4.37,54%,0.00,0%,50%,0.0, 20-7-0 (1 NC),"5' 11""",170 lbs.,"72""",Orthodox,"Aug 16, 1990",5.14,42%,3.89,56%,0.38,25%,52%,0.4
"November 24, 2018","Beijing, China    ",Wu Yanan,Lauren Mueller,W,Women's Flyweight,N,0,0,18 of 36,17 of 43,50%,39%,28 of 46,27 of 55,0 of 1,0 of 1,0%,0%,1,0,0,0,1:13,0:30, 11-4-0,"5' 8""",125 lbs.,"66""",Orthodox,"Apr 18, 1996",4.51,45%,4.82,51%,0.61,22%,66%,0.3, 5-3-0,"5' 5""",125 lbs.,"67""",Orthodox,"Nov 15, 1991",4.08,41%,3.77,58%,0.70,50%,71%,0.0
"November 24, 2018","Beijing, China    ",Hu Yaozong,Rashad Coulter,L,Light Heavyweight,N,0,1,92 of 174,98 of 157,52%,62%,98 of 183,108 of 167,0 of 1,0 of 0,0%,---,0,0,0,0,5:22,0:12, 3-3-0,"6' 3""",185 lbs.,"72""",Orthodox,"Apr 07, 1995",3.35,48%,5.09,35%,0.00,0%,33%,0.4, 9-4-0,"5' 11""",205 lbs.,"76""",Orthodox,"Nov 27, 1981",4.82,56%,6.68,50%,0.00,0%,62%,0.0
"November 24, 2018","Beijing, China    ",Zhang Weili,Jessica Aguilar,W,Women's Strawweight,N,0,0,45 of 58,9 of 12,77%,75%,63 of 79,11 of 14,1 of 3,0 of 1,33%,0%,2,0,0,0,2:30,0:47, 21-3-0,"5' 4""",115 lbs.,"63""",Switch,"Aug 13, 1989",5.47,45%,4.13,52%,1.75,31%,60%,0.3, 20-8-0,"5' 3""",115 lbs.,"63""",Orthodox,"May 08, 1982",4.93,50%,7.19,53%,0.94,25%,50%,0.2
"November 24, 2018","Beijing, China    ",Pingyuan Liu,Martin Day,W,Bantamweight,N,1,1,55 of 133,100 of 184,41%,54%,73 of 155,127 of 218,0 of 4,1 of 1,0%,100%,2,2,0,0,4:45,2:13, 13-7-0,"5' 6""",135 lbs.,"72""",Orthodox,"Feb 13, 1993",2.36,33%,2.99,54%,0.25,20%,56%,1.0, 8-6-0,"5' 10""",145 lbs.,"73""",Orthodox,"Nov 10, 1988",3.97,45%,3.79,53%,0.72,60%,65%,0.5
"November 24, 2018","Beijing, China    ",Yan Xiaonan,Syuri Kondo,W,Women's Strawweight,N,0,0,150 of 331,86 of 221,45%,38%,150 of 333,86 of 221,0 of 1,0 of 0,0%,---,0,0,0,0,0:00,0:00, 13-2-0 (1 NC),"5' 5""",115 lbs.,"63""",Orthodox,"Jun 16, 1989",5.95,42%,3.61,61%,0.92,75%,65%,0.0, 6-3-0,"5' 4""",115 lbs.,"66""",Orthodox,"Feb 08, 1989",5.40,44%,7.22,58%,0.00,0%,83%,0.3
"November 24, 2018","Beijing, China    ",Kevin Holland,John Phillips,W,Middleweight,N,0,0,123 of 187,51 of 154,65%,33%,164 of 236,53 of 156,5 of 6,0 of 0,83%,---,2,0,0,1,3:22,0:49, 21-7-0 (1 NC),"6' 3""",185 lbs.,"81""",Orthodox,"Nov 05, 1992",3.67,54%,2.34,56%,0.90,45%,50%,0.5, 22-11-0 (1 NC),"5' 11""",185 lbs.,"75""",Southpaw,"Jun 09, 1985",1.72,34%,4.03,49%,0.00,0%,7%,0.0
"November 24, 2018","Beijing, China    ",Sumudaerji,Louis Smolka,L,Bantamweight,N,0,0,18 of 30,32 of 62,60%,51%,20 of 33,42 of 76,0 of 0,2 of 5,---,40%,2,1,1,0,0:26,5:58, 14-4-0,"5' 8""",125 lbs.,"72""",Southpaw,"Jan 20, 1996",4.49,51%,2.19,68%,0.40,100%,77%,0.8, 17-7-0,"5' 9""",135 lbs.,"68""",Orthodox,"Jul 16, 1991",4.44,46%,3.74,53%,1.84,37%,31%,1.9
"November 17, 2018","Buenos Aires, Buenos Aires, Argentina    ",Neil Magny,Santiago Ponzinibbio,L,Welterweight,N,0,2,72 of 251,79 of 177,28%,44%,72 of 251,81 of 179,0 of 2,0 of 0,0%,---,0,0,0,0,0:00,0:41, 25-9-0,"6' 3""",170 lbs.,"80""",Orthodox,"Aug 03, 1987",3.67,46%,2.06,56%,2.44,42%,57%,0.3, 29-4-0,"6' 0""",170 lbs.,"73""",Orthodox,"Sep 26, 1986",4.65,40%,4.38,63%,0.46,36%,60%,0.0
"November 17, 2018","Buenos Aires, Buenos Aires, Argentina    ",Ricardo Lamas,Darren Elkins,W,Featherweight,N,0,0,70 of 123,62 of 174,56%,35%,80 of 134,81 of 196,3 of 5,3 of 6,60%,50%,0,0,1,0,2:32,2:39, 20-8-0,"5' 8""",145 lbs.,"71""",Orthodox,"May 21, 1982",3.13,47%,2.87,57%,1.84,33%,46%,0.9, 27-9-0,"5' 10""",145 lbs.,"71""",Orthodox,"May 16, 1984",3.46,38%,3.05,52%,2.67,33%,56%,1.1
"November 17, 2018","Buenos Aires, Buenos Aires, Argentina    ",Khalil Rountree Jr.,Johnny Walker,L,Light Heavyweight,N,0,1,4 of 9,10 of 11,44%,90%,5 of 10,10 of 11,0 of 0,0 of 0,---,---,0,0,0,0,0:05,0:04, 10-5-0 (1 NC),"6' 1""",205 lbs.,"76""",Southpaw,"Feb 26, 1990",3.24,38%,3.58,49%,0.00,0%,50%,0.2, 18-6-0,"6' 6""",205 lbs.,"82""",Orthodox,"Mar 30, 1992",3.42,59%,2.81,40%,0.24,100%,62%,0.7
"November 17, 2018","Buenos Aires, Buenos Aires, Argentina    ",Cezar Ferreira,Ian Heinisch,L,Middleweight,N,0,1,26 of 55,55 of 95,47%,57%,38 of 68,90 of 133,5 of 11,1 of 7,45%,14%,0,2,0,0,5:20,1:30, 13-8-0,"6' 1""",185 lbs.,"78""",Southpaw,"Feb 15, 1985",1.90,42%,2.44,53%,2.69,53%,84%,0.5, 14-5-0,"5' 11""",185 lbs.,"72""",Orthodox,"Aug 05, 1988",3.25,50%,2.98,59%,1.02,17%,59%,0.7
"November 17, 2018","Buenos Aires, Buenos Aires, Argentina    ",Guido Cannetti,Marlon Vera,L,Bantamweight,N,0,1,24 of 42,24 of 35,57%,68%,37 of 56,36 of 48,2 of 4,2 of 2,50%,100%,0,2,0,0,2:46,1:21, 8-7-0,"5' 6""",135 lbs.,"68""",Southpaw,"Dec 19, 1979",3.20,54%,2.87,50%,2.04,50%,70%,0.2, 18-7-1,"5' 8""",135 lbs.,"70""",Switch,"Dec 02, 1992",4.08,51%,4.27,50%,0.82,42%,69%,1.3
"November 17, 2018","Buenos Aires, Buenos Aires, Argentina    ",Cynthia Calvillo,Poliana Botelho,W,Women's Strawweight,N,0,0,22 of 41,6 of 20,53%,30%,35 of 54,10 of 24,2 of 3,0 of 0,66%,---,1,0,0,0,1:51,0:00, 9-4-1,"5' 4""",125 lbs.,"64""",Orthodox,"Jul 13, 1987",4.27,40%,4.10,64%,1.75,43%,73%,1.0, 8-4-0,"5' 8""",115 lbs.,"67""",Orthodox,"Dec 15, 1988",2.83,57%,2.75,50%,0.92,57%,80%,0.0
"November 17, 2018","Buenos Aires, Buenos Aires, Argentina    ",Michel Prazeres,Bartosz Fabinski,W,Welterweight,N,1,0,18 of 23,1 of 5,78%,20%,26 of 32,1 of 5,1 of 1,0 of 0,100%,---,1,0,0,0,0:46,0:00, 26-4-0,"5' 6""",170 lbs.,"67""",Orthodox,"Jul 25, 1981",2.38,47%,2.51,57%,3.94,36%,47%,0.6, 15-5-0,"6' 0""",170 lbs.,"75""",Orthodox,"Apr 26, 1986",2.23,68%,1.46,51%,7.10,70%,80%,0.0
"November 17, 2018","Buenos Aires, Buenos Aires, Argentina    ",Alexandre Pantoja,Yuta Sasaki,W,Flyweight,N,0,0,4 of 7,7 of 11,57%,63%,7 of 10,8 of 12,0 of 1,0 of 0,0%,---,2,0,1,0,0:38,1:24, 24-5-0,"5' 5""",125 lbs.,"67""",Orthodox,"Apr 16, 1990",4.24,48%,3.34,55%,1.26,38%,67%,1.1, 21-6-2,"5' 10""",125 lbs.,"71""",Southpaw,"Oct 07, 1989",2.16,41%,2.50,50%,3.03,43%,41%,1.2
"November 17, 2018","Buenos Aires, Buenos Aires, Argentina    ",Humberto Bandenay,Austin Arnett,L,Featherweight,N,0,0,30 of 85,74 of 116,35%,63%,31 of 87,95 of 139,2 of 3,1 of 6,66%,16%,0,0,0,0,0:15,5:58, 14-7-0 (1 NC),"5' 11""",145 lbs.,"71""",Southpaw,"Sep 04, 1994",2.22,41%,4.79,41%,2.90,46%,62%,0.5, 16-6-0,"6' 0""",145 lbs.,"72""",Orthodox,"Oct 22, 1991",4.52,41%,6.38,62%,0.44,18%,57%,0.2
"November 17, 2018","Buenos Aires, Buenos Aires, Argentina    ",Laureano Staropoli,Hector Aldana,W,Welterweight,N,0,0,97 of 275,69 of 170,35%,40%,99 of 277,72 of 173,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:43, 9-5-0,"6' 1""",185 lbs.,"71""",Orthodox,"Feb 27, 1993",3.31,34%,3.73,54%,0.83,26%,48%,0.0, 4-3-0,"5' 11""",170 lbs.,"72""",Orthodox,"Aug 17, 1988",3.59,38%,5.08,59%,0.93,100%,0%,0.0
"November 17, 2018","Buenos Aires, Buenos Aires, Argentina    ",Devin Powell,Jesus Pinedo,L,Lightweight,N,0,0,58 of 139,60 of 142,41%,42%,68 of 157,68 of 153,0 of 1,5 of 5,0%,100%,0,0,0,0,0:15,4:27, 9-4-0,"6' 0""",155 lbs.,"73""",Orthodox,"Mar 01, 1988",2.88,41%,3.67,51%,0.00,0%,0%,0.6, 16-5-1,"5' 10""",155 lbs.,--,Southpaw,"Jun 22, 1996",3.23,38%,4.37,52%,2.50,100%,100%,0.0
"November 17, 2018","Buenos Aires, Buenos Aires, Argentina    ",Nad Narimani,Anderson Dos Santos,W,Featherweight,N,0,0,84 of 186,46 of 170,45%,27%,111 of 220,50 of 174,1 of 5,0 of 1,20%,0%,0,1,0,0,4:40,0:18, 12-4-0,"5' 8""",145 lbs.,"70""",Orthodox,"Apr 14, 1987",3.33,42%,3.00,58%,1.92,41%,70%,0.0, 21-9-0,"5' 5""",135 lbs.,"70""",Orthodox,"Jul 24, 1985",2.70,25%,5.37,49%,0.98,14%,66%,0.7
"November 10, 2018","Denver, Colorado, USA    ",Chan Sung Jung,Yair Rodriguez,L,Featherweight,N,0,1,126 of 308,119 of 271,40%,43%,130 of 312,129 of 281,0 of 5,0 of 4,0%,0%,0,0,0,0,1:00,0:19, 17-6-0,"5' 7""",145 lbs.,"72""",Orthodox,"Mar 17, 1987",4.07,43%,3.87,55%,0.82,47%,77%,0.7, 14-3-0 (1 NC),"5' 11""",145 lbs.,"71""",Orthodox,"Oct 06, 1992",4.65,45%,4.09,53%,0.86,28%,60%,0.8
"November 10, 2018","Denver, Colorado, USA    ",Donald Cerrone,Mike Perry,W,Welterweight,N,0,0,9 of 13,11 of 20,69%,55%,10 of 14,11 of 20,0 of 1,1 of 1,0%,100%,1,0,1,0,0:40,0:58, 36-16-0 (2 NC),"6' 1""",170 lbs.,"73""",Orthodox,"Mar 29, 1983",4.43,46%,4.49,53%,1.18,33%,74%,1.2, 14-8-0,"5' 10""",170 lbs.,"71""",Orthodox,"Sep 15, 1991",4.32,47%,5.16,52%,0.81,40%,78%,0.2
"November 10, 2018","Denver, Colorado, USA    ",Raquel Pennington,Germaine de Randamie,L,Women's Bantamweight,N,0,0,24 of 84,42 of 107,28%,39%,52 of 130,91 of 159,0 of 8,0 of 0,0%,---,0,0,0,0,6:05,1:06, 12-9-0,"5' 7""",135 lbs.,"67""",Orthodox,"Sep 05, 1988",3.59,49%,3.21,62%,1.11,28%,65%,0.7, 10-4-0,"5' 9""",135 lbs.,"71""",Orthodox,"Apr 24, 1984",2.72,46%,2.14,65%,0.00,0%,69%,0.4
"November 10, 2018","Denver, Colorado, USA    ",Beneil Dariush,Thiago Moises,W,Lightweight,N,0,0,44 of 68,8 of 16,64%,50%,113 of 161,20 of 30,4 of 8,0 of 2,50%,0%,2,4,0,0,13:32,0:00, 21-4-1,"5' 10""",155 lbs.,"72""",Southpaw,"May 06, 1989",3.80,49%,2.58,58%,2.11,34%,81%,1.0, 15-6-0,"5' 9""",155 lbs.,"70""",Orthodox,"Mar 23, 1995",2.52,37%,4.12,56%,1.00,35%,60%,1.1
"November 10, 2018","Denver, Colorado, USA    ",Maycee Barber,Hannah Cifers,W,Women's Strawweight,N,0,0,68 of 97,41 of 69,70%,59%,78 of 107,60 of 88,1 of 5,0 of 0,20%,---,0,0,0,0,3:33,0:28, 9-2-0,"5' 5""",125 lbs.,"65""",Switch,"May 18, 1998",4.67,49%,3.03,54%,1.36,33%,66%,0.2, 10-7-0,"5' 1""",115 lbs.,"62""",Orthodox,"Jun 26, 1992",4.99,44%,5.39,52%,0.26,100%,64%,0.3
"November 10, 2018","Denver, Colorado, USA    ",Michael Trizano,Luis Pena,W,Lightweight,N,0,0,51 of 100,23 of 85,51%,27%,55 of 104,34 of 97,1 of 2,1 of 9,50%,11%,1,0,1,1,2:14,5:26, 10-1-0,"5' 11""",145 lbs.,"71""",Orthodox,"Dec 31, 1991",3.22,53%,2.36,58%,0.29,50%,71%,0.9, 9-3-0,"6' 3""",155 lbs.,"75""",Southpaw,"Jul 05, 1993",3.66,46%,3.12,51%,1.17,33%,48%,1.2
"November 10, 2018","Denver, Colorado, USA    ",Ashley Yoder,Amanda Cooper,W,Women's Strawweight,N,0,0,38 of 90,51 of 105,42%,48%,59 of 113,67 of 121,1 of 2,2 of 6,50%,33%,3,2,1,0,3:21,5:29, 8-8-0,"5' 7""",115 lbs.,"69""",Southpaw,"Oct 20, 1987",3.08,39%,3.76,47%,1.20,30%,69%,0.6, 3-5-0,"5' 3""",115 lbs.,"64""",Switch,"Oct 22, 1991",3.55,44%,3.20,51%,1.53,38%,28%,1.8
"November 10, 2018","Denver, Colorado, USA    ",Chas Skelly,Bobby Moffett,NC,Featherweight,N,0,0,30 of 60,20 of 56,50%,35%,47 of 81,21 of 57,1 of 2,1 of 1,50%,100%,0,1,1,0,3:38,1:14, 18-3-0 (1 NC),"5' 11""",145 lbs.,"72""",Orthodox,"May 11, 1985",2.02,40%,3.35,48%,1.71,34%,33%,2.4, 13-5-0 (1 NC),"5' 10""",145 lbs.,"73""",Orthodox,"Jun 01, 1990",3.41,39%,3.15,61%,2.74,66%,66%,1.4
"November 10, 2018","Denver, Colorado, USA    ",Davi Ramos,John Gunther,W,Lightweight,N,0,0,4 of 5,1 of 3,80%,33%,4 of 5,1 of 4,1 of 1,0 of 0,100%,---,1,0,0,0,1:45,0:00, 10-4-0,"5' 6""",155 lbs.,"70""",Orthodox,"Nov 05, 1986",2.64,37%,3.44,56%,1.95,40%,83%,0.6, 5-1-0,"5' 9""",155 lbs.,"72""",Orthodox,"Nov 24, 1985",1.65,37%,3.72,46%,7.08,42%,0%,0.0
"November 10, 2018","Denver, Colorado, USA    ",Devonte Smith,Julian Erosa,W,Lightweight,N,1,0,13 of 19,4 of 7,68%,57%,13 of 19,4 of 7,0 of 0,0 of 0,---,---,0,0,0,0,0:03,0:00, 11-3-0,"5' 9""",155 lbs.,"76""",Orthodox,"Jul 30, 1993",5.10,52%,3.86,54%,0.53,100%,80%,0.5, 26-10-0,"6' 1""",145 lbs.,"74""",Southpaw,"Jul 31, 1989",5.55,47%,5.90,50%,1.45,50%,58%,0.9
