date,red_fighter,blue_fighter,winner,red_sig_str_percent,blue_sig_str_percent,red_sub_att,blue_sub_att,red_stance,blue_stance,red_total_str_percent,blue_total_str_percent,red_td_percent,blue_td_percent,height_diff,reach_diff,red_age,blue_age,red_sig_strike_defence_percent,blue_sig_strike_defence_percent,red_td_defence_percent,blue_td_defence_percent,red_td_defence_average,blue_td_defence_average,red_td_average,blue_td_average,red_sig_str_average,blue_sig_str_average,red_total_str_average,blue_total_str_average,red_sig_strike_defence_average,blue_sig_strike_defence_average
2024-05-11,Derrick Lewis,Rodrigo Nascimento,W,0.5466666666666666,0.6585365853658537,0,0,Orthodox,Orthodox,0.5802469135802469,0.782608695652174,0.25,1.0,2.0,-2.539999999999992,39,31,0.35,0.4599999999999999,0.0,0.75,0.714,0.9533333333333333,0.1722222222222222,0.23809523809523805,0.5079475911322952,0.4627107646547708,0.5242492593444956,0.5222669171494675,0.425,0.42166666666666663
2024-05-11,Joaquin Buckley,Nursulton Ruziboev,W,0.5512820512820513,0.4305555555555556,0,0,Southpaw,Orthodox,0.6042780748663101,0.4942528735632184,1.0,0.0,-18.0,0.0,30,30,0.5700000000000001,0.4499999999999999,1.0,0.0,0.8438461538461539,1.0,0.18910256410256407,0.5,0.3263057290226862,0.5208333333333333,0.3474895402434275,0.5208333333333333,0.59,0.6699999999999999
2024-05-11,Alonzo Menifield,Carlos Ulberg,L,0.25,0.6363636363636364,0,0,Orthodox,Orthodox,0.25,0.6363636363636364,0.0,0.0,-10.0,-2.5400000000000205,37,34,0.37,0.75,1.0,1.0,0.9125,0.9166666666666666,0.2638888888888889,0.25,0.6047189572836277,0.6292747503098667,0.6434009237482009,0.6364569199920362,0.5575,0.5366666666666666
2024-05-11,Diego Ferreira,Mateusz Rebecki,W,0.5103734439834025,0.3795620437956204,0,0,Orthodox,Southpaw,0.5551470588235294,0.410958904109589,1.0,0.8,5.0,20.319999999999993,39,32,0.63,0.49,0.1999999999999999,0.0,0.7964285714285715,0.89,0.1377551020408163,0.9166666666666666,0.4244247993279316,0.5712962962962963,0.45799236650263253,0.629611908559277,0.5271428571428571,0.6699999999999999
2024-05-11,Alex Caceres,Sean Woodson,L,0.416243654822335,0.4469026548672566,0,0,Southpaw,Orthodox,0.425,0.4469026548672566,0.0,0.0,-10.0,-12.699999999999989,36,32,0.56,0.5900000000000001,1.0,1.0,0.6790322580645162,0.8842857142857142,0.23118279569892475,0.1619047619047619,0.49526901148633157,0.46941881441796074,0.5339124909316801,0.5469950216293584,0.6093548387096774,0.6157142857142858
2024-05-11,Waldo Cortes-Acosta,Robelis Despaigne,W,0.5148514851485149,0.5,1,0,Orthodox,Orthodox,0.6372549019607843,0.4745762711864407,0.75,0.0,-8.0,-15.240000000000007,33,36,0.5,0.49,1.0,0.25,0.8160000000000001,1.0,0.0,0.0,0.4462192825040042,0.7777777777777778,0.4534572530981317,0.7777777777777778,0.476,0.6
2024-05-11,Chase Hooper,Viacheslav Borshchev,W,0.5688073394495413,0.3333333333333333,2,0,Southpaw,Orthodox,0.5944700460829493,0.3333333333333333,1.0,0.0,5.0,12.700000000000015,25,32,0.6699999999999999,0.4399999999999999,1.0,0.0,0.625,0.47000000000000003,0.1724702380952381,0.0,0.469293180779367,0.5731209578561713,0.569462820789769,0.6216195555633097,0.36374999999999996,0.518
2024-05-11,Terrance McKinney,Esteban Ribovics,L,0.2777777777777778,0.4166666666666667,0,0,Switch,Orthodox,0.2777777777777778,0.4166666666666667,0.0,0.0,0.0,10.160000000000023,30,28,0.5900000000000001,0.73,1.0,1.0,0.96875,0.635,0.2583333333333333,0.5,0.5807375842756903,0.5404674188349068,0.6177167255566035,0.6038084215167548,0.44625,0.505
2024-05-11,Tabatha Ricci,Tecia Pennington,W,0.3776223776223776,0.365296803652968,0,0,Orthodox,Orthodox,0.5053763440860215,0.3982683982683982,0.1,0.0,0.0,2.539999999999992,29,35,0.64,0.63,1.0,0.9,0.7916666666666666,0.7413333333333333,0.3549242424242424,0.28888888888888886,0.40988832113261336,0.49418735996547924,0.46033576758961064,0.5638562721905845,0.6266666666666666,0.63
2024-05-11,Billy Ray Goff,Trey Waters,L,0.465863453815261,0.4266666666666667,0,1,Switch,Orthodox,0.4867924528301887,0.4533898305084746,0.0833333333333333,0.0,-18.0,-12.700000000000015,26,29,0.5800000000000001,0.54,1.0,0.92,1.0,0.88,0.0,0.5,0.4705882352941176,0.5123152709359606,0.4831460674157303,0.5170731707317073,0.6799999999999999,0.61
2024-05-11,Charles Johnson,Jake Hadley,W,0.4166666666666667,0.375,0,0,Switch,Southpaw,0.4680851063829787,0.3846153846153846,0.0,0.0,5.0,0.0,33,28,0.63,0.5900000000000001,1.0,1.0,0.6628571428571428,0.45999999999999996,0.07619047619047618,0.0,0.5546978627968037,0.39946248397560274,0.6185120724502482,0.5221338485213435,0.5785714285714285,0.635
2024-05-11,JJ Aldrich,Veronica Hardy,L,0.4285714285714285,0.4615384615384615,0,0,Southpaw,Southpaw,0.5,0.6106194690265486,0.0,0.0,2.0,7.6200000000000045,32,29,0.54,0.5800000000000001,1.0,1.0,0.7307142857142858,0.5957142857142858,0.15034013605442179,0.5,0.478518266924297,0.577445834075881,0.5285710046843338,0.6221495016615346,0.6135714285714285,0.49142857142857144
