date,red_fighter,blue_fighter,winner,red_sig_str_percent,blue_sig_str_percent,red_sub_att,blue_sub_att,red_stance,blue_stance,red_total_str_percent,blue_total_str_percent,red_td_percent,blue_td_percent,height_diff,reach_diff,red_age,blue_age,red_sig_strike_defence_percent,blue_sig_strike_defence_percent,red_td_defence_percent,blue_td_defence_percent
2024-06-29,Charles Jourdain,Jean Silva,L,0.5,0.6181818181818182,0,0,Switch,Orthodox,0.5,0.625,0.42857142857142855,0.0,5.0,0.0,29,28,0.39,0.5,1.0,0.5800000000000001
2024-04-13,Holly Holm,Kayla Harrison,L,0.16666666666666666,0.7183098591549296,0,1,Southpaw,Southpaw,0.4117647058823529,0.7472527472527473,0.0,0.4,0.0,7.619999999999976,42,34,0.29000000000000004,0.84,0.6,1.0
2024-03-16,Josiane Nunes,Chelsea Chandler,L,0.44761904761904764,0.4461538461538462,0,0,Southpaw,Southpaw,0.4537037037037037,0.5681818181818182,0.0,1.0,-16.0,-2.539999999999992,30,33,0.56,0.56,0.0,1.0
2024-06-08,Charles Radtke,Carlos Prates,L,0.5185185185185185,0.4166666666666667,0,0,Orthodox,Switch,0.6875,0.4166666666666667,0.0,0.0,-10.0,-15.240000000000009,34,31,0.5900000000000001,0.49,1.0,1.0
2024-07-27,Muhammad Mokaev,Manel Kape,W,0.36585365853658536,0.4166666666666667,0,0,Orthodox,Southpaw,0.46078431372549017,0.5074626865671642,0.375,0.0,5.0,5.0800000000000125,24,31,0.5900000000000001,0.64,1.0,0.63
2024-06-22,Rinat Fakhretdinov,Nicolas Dalby,W,0.5074626865671642,0.4925373134328358,0,0,Orthodox,Orthodox,0.5722543352601156,0.6307692307692307,0.45454545454545453,0.0,3.0,0.0,33,40,0.51,0.5,1.0,0.55
2024-03-09,Mateusz Gamrot,Rafael Dos Anjos,W,0.5588235294117647,0.46153846153846156,0,0,Southpaw,Southpaw,0.6809815950920245,0.47560975609756095,0.5789473684210527,0.0,5.0,0.0,33,39,0.54,0.44999999999999996,1.0,0.43000000000000005
2024-05-04,Elves Brener,Myktybek Orolbai,L,0.5274725274725275,0.5462184873949579,0,0,Orthodox,Orthodox,0.632,0.6014492753623188,0.5,0.29411764705882354,0.0,-5.0800000000000125,27,26,0.45999999999999996,0.48,0.71,0.5
2024-07-13,Montel Jackson,Da'Mon Blackshear,W,0.6666666666666666,1.0,0,0,Southpaw,Switch,0.6666666666666666,1.0,0.0,0.0,0.0,7.6200000000000045,32,30,0.0,0.33999999999999997,1.0,1.0
2024-04-27,Don'Tale Mayes,Caio Machado,W,0.366120218579235,0.4779874213836478,0,0,Orthodox,Southpaw,0.38421052631578945,0.48125,0.0,0.0,5.0,7.6200000000000045,32,30,0.53,0.64,1.0,1.0
2024-06-29,Payton Talbott,Yanis Ghemmouri,W,1.0,0.5,0,0,Switch,Orthodox,1.0,0.5,0.0,0.0,3.0,2.5400000000000205,26,29,0.5,0.0,1.0,1.0
2024-04-13,Sodiq Yusuff,Diego Lopes,L,0.4,0.8125,0,0,Orthodox,Orthodox,0.4,0.8285714285714286,0.0,0.0,-5.0,-2.539999999999992,31,29,0.18999999999999995,0.6,1.0,1.0
2024-07-27,Oban Elliott,Preston Parsons,W,0.352,0.3870967741935484,0,0,Orthodox,Orthodox,0.34507042253521125,0.5338345864661654,0.5,0.1111111111111111,3.0,2.539999999999992,27,29,0.62,0.65,0.89,0.5
2024-03-16,Jafel Filho,Ode Osbourne,W,0.6,0.0,2,0,Orthodox,Southpaw,0.6515151515151515,0.16666666666666666,1.0,0.0,0.0,-12.700000000000017,31,32,1.0,0.4,1.0,0.0
2024-06-08,Brad Katona,Jesse Butler,W,0.6017699115044248,0.36585365853658536,0,0,Orthodox,Orthodox,0.6820276497695853,0.35555555555555557,1.0,0.0,-10.0,-22.860000000000014,32,32,0.64,0.4,1.0,0.0
2024-06-22,Kyung Ho Kang,Muin Gafurov,L,0.34285714285714286,0.6619718309859155,0,0,Orthodox,Southpaw,0.7828947368421053,0.7638888888888888,0.2727272727272727,0.3333333333333333,5.0,12.700000000000017,37,28,0.33999999999999997,0.6599999999999999,0.6699999999999999,0.73
2024-03-09,Pedro Munhoz,Kyler Phillips,L,0.37142857142857144,0.41454545454545455,0,0,Orthodox,Orthodox,0.37142857142857144,0.4166666666666667,0.125,0.0,-5.0,-17.78,38,29,0.5900000000000001,0.63,1.0,0.88
2024-05-04,Joaquim Silva,Drakkar Klose,L,0.6344086021505376,0.5691056910569106,1,0,Southpaw,Orthodox,0.7988826815642458,0.6357615894039735,0.0,0.0,-2.0,-2.5400000000000205,35,36,0.43999999999999995,0.37,1.0,1.0
2024-07-13,Luana Santos,Mariya Agapova,W,0.5,0.21428571428571427,3,0,Orthodox,Southpaw,0.75,0.6451612903225806,1.0,0.0,0.0,-2.539999999999992,24,27,0.79,0.5,1.0,0.0
2024-04-27,Marnic Mann,Ketlen Souza,L,0.4025974025974026,0.6896551724137931,1,0,Southpaw,Orthodox,0.6981132075471698,0.7045454545454546,0.4,0.5,-8.0,2.539999999999992,31,30,0.31999999999999995,0.6,0.5,0.6
2024-07-27,Modestas Bukauskas,Marcin Prachnio,W,0.5,0.5035971223021583,1,0,Switch,Orthodox,0.5544554455445545,0.6,1.0,0.0,0.0,10.159999999999997,30,36,0.5,0.5,1.0,0.0
2024-03-16,Josh Culibao,Danny Silva,L,0.4306930693069307,0.4205607476635514,0,1,Orthodox,Switch,0.43414634146341463,0.47058823529411764,0.0,0.4444444444444444,-2.0,7.6200000000000045,30,27,0.5800000000000001,0.5700000000000001,0.56,1.0
2024-06-29,Michelle Waterson-Gomez,Gillian Robertson,L,0.40384615384615385,0.7333333333333333,0,2,Orthodox,Orthodox,0.5466666666666666,0.782051282051282,1.0,0.3333333333333333,-5.0,-2.5400000000000205,38,29,0.27,0.6,0.6699999999999999,0.0
2024-04-13,Jalin Turner,Renato Moicano,L,0.4,0.5373134328358209,0,0,Southpaw,Orthodox,0.4,0.6796875,0.0,0.3333333333333333,10.0,12.700000000000017,29,35,0.47,0.6,0.6699999999999999,1.0
2024-06-08,Andrea Lee,Montana De La Rosa,L,0.4934210526315789,0.3888888888888889,0,1,Orthodox,Orthodox,0.572139303482587,0.42718446601941745,0.0,0.5,-2.0,2.539999999999992,35,29,0.62,0.51,0.5,1.0
2024-06-22,Magomed Gadzhiyasulov,Brendson Ribeiro,W,0.6666666666666666,0.4857142857142857,0,1,Orthodox,Orthodox,0.6888888888888889,0.5686274509803921,1.0,0.5,-2.0,-15.240000000000009,31,28,0.52,0.33999999999999997,0.5,0.0
2024-03-09,Ion Cutelaba,Philipe Lins,L,0.4845360824742268,0.5826086956521739,0,0,Southpaw,Orthodox,0.695906432748538,0.6033057851239669,0.0,0.2857142857142857,-3.0,-7.6200000000000045,30,39,0.42000000000000004,0.52,0.72,1.0
2024-05-04,Mauricio Ruffy,Jamie Mullarkey,W,0.625,0.3684210526315789,0,0,Orthodox,Orthodox,0.625,0.3684210526315789,0.0,0.0,-3.0,2.539999999999992,28,30,0.64,0.38,1.0,1.0
2024-07-13,Josh Fremd,Andre Petroski,L,0.6666666666666666,0.6666666666666666,0,1,Orthodox,Switch,0.8108108108108109,0.5882352941176471,0.0,0.75,10.0,7.619999999999976,30,33,0.33999999999999997,0.33999999999999997,0.25,1.0
2024-07-27,Sam Patterson,Kiefer Crosbie,W,0.34615384615384615,0.5625,1,0,Orthodox,Switch,0.41935483870967744,0.5882352941176471,1.0,0.0,10.0,20.319999999999993,28,34,0.43999999999999995,0.6599999999999999,1.0,0.0
2024-04-27,James Llontop,Chris Padilla,L,0.475,0.46153846153846156,0,1,Orthodox,Orthodox,0.475,0.4827586206896552,0.0,1.0,8.0,-2.539999999999992,25,29,0.54,0.53,0.0,1.0
2024-03-16,Jaqueline Amorim,Cory McKenna,W,0.6,0.36363636363636365,4,0,Orthodox,Orthodox,0.6,0.47058823529411764,0.0,1.0,0.0,25.400000000000006,29,25,0.64,0.4,0.0,1.0
2024-04-13,Jessica Andrade,Marina Rodriguez,W,0.49444444444444446,0.35964912280701755,0,1,Orthodox,Orthodox,0.5636363636363636,0.3900414937759336,1.0,0.0,-13.0,-7.6200000000000045,33,37,0.65,0.51,1.0,0.0
2024-06-29,Andrei Arlovski,Martin Buday,L,0.6218487394957983,0.6428571428571429,0,0,Orthodox,Orthodox,0.6666666666666666,0.8291457286432161,0.0,0.0,-3.0,0.0,45,33,0.36,0.38,1.0,1.0
2024-06-08,John Castaneda,Daniel Marcos,L,0.4878048780487805,0.5730994152046783,0,0,Switch,Orthodox,0.5074626865671642,0.5706214689265536,0.2,0.0,-2.0,5.0800000000000125,32,31,0.43000000000000005,0.52,1.0,0.8
2024-03-09,Michel Pereira,Michal Oleksiejczuk,W,0.7333333333333333,0.25,1,0,Orthodox,Southpaw,0.7333333333333333,0.25,0.0,0.0,2.0,-2.539999999999992,30,29,0.75,0.27,1.0,1.0
2024-06-22,Xiao Long,ChangHo Lee,L,0.6601941747572816,0.7058823529411765,0,0,Orthodox,Orthodox,0.7219251336898396,0.7587719298245614,0.4,0.2222222222222222,0.0,2.5400000000000205,26,30,0.30000000000000004,0.33999999999999997,0.78,0.6
2024-05-04,Dione Barbosa,Ernesta Kareckaite,W,0.5492957746478874,0.33974358974358976,1,0,Orthodox,Orthodox,0.7016129032258065,0.45454545454545453,0.18181818181818182,1.0,-7.0,-12.699999999999989,32,26,0.6699999999999999,0.45999999999999996,0.0,0.8200000000000001
2024-07-13,Evan Elder,Darrius Flowers,W,0.5232558139534884,0.4,1,0,Switch,Orthodox,0.5865384615384616,0.4,0.0,0.5,3.0,2.539999999999992,27,30,0.6,0.48,0.5,1.0
2024-07-27,Mick Parkin,Lukasz Brzeski,W,0.6538461538461539,0.5714285714285714,0,0,Orthodox,Orthodox,0.6538461538461539,0.5909090909090909,0.0,0.0,0.0,2.539999999999992,29,32,0.43000000000000005,0.35,1.0,1.0
2024-04-27,Ivana Petrovic,Liang Na,W,0.4931506849315068,0.46153846153846156,1,0,Southpaw,Orthodox,0.6733333333333333,0.550561797752809,0.75,0.5,8.0,7.6200000000000045,30,28,0.54,0.51,0.5,0.25
2024-03-16,Thiago Moises,Mitch Ramirez,W,0.6410256410256411,0.3333333333333333,1,0,Orthodox,Orthodox,0.7361111111111112,0.4307692307692308,1.0,0.0,-5.0,-2.539999999999992,29,31,0.6699999999999999,0.36,1.0,0.0
