date,location,weight_class,title_bout,winner,red_Fighter,blue_Fighter,red_KD,blue_KD,red_Sig. str. %,blue_Sig. str. %,red_Td %,blue_Td %,red_Sub. att,blue_Sub. att,red_Rev.,blue_Rev.,red_Ctrl,blue_Ctrl,red_Height,red_Weight,red_Reach,red_STANCE,red_DOB,red_SLpM,red_Str. Acc.,red_SApM,red_Str. Def,red_TD Avg.,red_TD Acc.,red_TD Def.,red_Sub. Avg.,red_record,blue_Height,blue_Weight,blue_Reach,blue_STANCE,blue_DOB,blue_SLpM,blue_Str. Acc.,blue_SApM,blue_Str. Def,blue_TD Avg.,blue_TD Acc.,blue_TD Def.,blue_Sub. Avg.,blue_record,red_Sig. str._attempted,red_Sig. str._landed,red_Sig. str._percent,blue_Sig. str._attempted,blue_Sig. str._landed,blue_Sig. str._percent,red_Total str._attempted,red_Total str._landed,red_Total str._percent,blue_Total str._attempted,blue_Total str._landed,blue_Total str._percent,red_Td_attempted,red_Td_landed,red_Td_percent,blue_Td_attempted,blue_Td_landed,blue_Td_percent,Height_diff,Reach_diff,red_age,blue_age,red_sig_strike_defence_percent,blue_sig_strike_defence_percent,red_takedowns_defence_percent,blue_takedowns_defence_percent
2023-05-20,"Las Vegas, Nevada, USA",Women's Flyweight,N,W,Natalia Silva,Victoria Leonardo,1,0,0.44,0.38,0.0,0.0,0,0,0,0,0:16,0:00,163.0,125 lbs.,165.1,Southpaw,1997-02-03,5.47,53%,1.9,66%,1.02,33%,92%,0.0, 15-5-1,165.0,125 lbs.,162.56,Orthodox,1990-02-16,3.27,39%,4.7,46%,1.6,27%,71%,0.0, 9-6-0,45.0,20.0,0.4444444444444444,18.0,7.0,0.3888888888888889,46.0,21.0,0.45652173913043476,18.0,7.0,0.3888888888888889,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,2.539999999999992,26,33,0.62,0.56,1.0,1.0
2023-05-20,"Las Vegas, Nevada, USA",Welterweight,N,L,Takashi Sato,Themba Gorimbo,0,1,0.63,0.58,0.33,0.37,0,0,1,2,2:21,11:15,178.0,170 lbs.,185.42000000000002,Southpaw,1990-06-09,2.21,41%,3.73,44%,0.76,37%,60%,0.0, 16-7-0,185.0,170 lbs.,195.58,Orthodox,1991-01-23,1.8,59%,1.71,42%,3.47,50%,66%,0.0, 11-4-0,47.0,30.0,0.6382978723404256,56.0,33.0,0.5892857142857143,76.0,56.0,0.7368421052631579,158.0,110.0,0.6962025316455697,6.0,2.0,0.3333333333333333,8.0,3.0,0.375,-7.0,-10.159999999999997,33,32,0.42000000000000004,0.37,0.63,0.6699999999999999
2023-05-13,"Charlotte, North Carolina, USA",Heavyweight,N,L,Jairzinho Rozenstruik,Jailton Almeida,0,0,0.0,0.57,0.0,0.5,0,1,0,0,0:00,3:09,188.0,242 lbs.,198.12,Orthodox,1988-03-17,2.81,45%,3.15,45%,0.0,0%,73%,0.0, 13-5-0,190.0,205 lbs.,200.66,Orthodox,1991-06-26,3.81,64%,0.3,25%,6.4,68%,50%,2.5, 19-2-0,2.0,0.0,0.0,7.0,4.0,0.5714285714285714,6.0,3.0,0.5,19.0,14.0,0.7368421052631579,0.0,0.0,0.0,2.0,1.0,0.5,-2.0,-2.539999999999992,35,32,0.43000000000000005,1.0,0.5,1.0
2023-05-13,"Charlotte, North Carolina, USA",Light Heavyweight,N,L,Anthony Smith,Johnny Walker,0,0,0.41,0.47,0.33,1.0,0,0,0,0,1:22,0:32,193.0,205 lbs.,193.04,Orthodox,1988-07-26,2.96,47%,4.49,43%,0.48,28%,47%,0.7, 36-18-0,198.0,205 lbs.,208.28,Orthodox,1992-03-30,3.85,56%,2.58,46%,0.51,100%,60%,1.0, 21-7-0,92.0,38.0,0.41304347826086957,192.0,92.0,0.4791666666666667,95.0,41.0,0.43157894736842106,204.0,99.0,0.4852941176470588,3.0,1.0,0.3333333333333333,1.0,1.0,1.0,-5.0,-15.240000000000009,35,31,0.53,0.5900000000000001,0.0,0.6699999999999999
2023-05-13,"Charlotte, North Carolina, USA",Welterweight,N,L,Daniel Rodriguez,Ian Garry,0,1,0.28,0.5,0.0,0.0,0,0,0,0,0:00,0:10,185.0,170 lbs.,187.96,Southpaw,1986-12-31,7.3,50%,5.28,56%,0.62,50%,63%,0.1, 17-4-0,190.0,170 lbs.,187.96,Orthodox,1997-11-17,6.85,55%,4.09,53%,0.29,50%,63%,0.0, 12-0-0,25.0,7.0,0.28,46.0,23.0,0.5,25.0,7.0,0.28,46.0,23.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,36,25,0.5,0.72,1.0,1.0
2023-05-13,"Charlotte, North Carolina, USA",Light Heavyweight,N,W,Carlos Ulberg,Ihor Potieria,1,0,0.61,0.55,0.0,0.0,0,0,0,0,0:08,0:00,193.0,205 lbs.,195.58,Orthodox,1990-11-07,8.13,62%,3.45,52%,0.92,100%,100%,0.0, 9-1-0,190.0,205 lbs.,190.5,Southpaw,1996-05-29,4.44,56%,5.52,42%,0.0,0%,33%,0.0, 19-4-0,21.0,13.0,0.6190476190476191,9.0,5.0,0.5555555555555556,21.0,13.0,0.6190476190476191,9.0,5.0,0.5555555555555556,0.0,0.0,0.0,1.0,0.0,0.0,3.0,5.0800000000000125,33,27,0.44999999999999996,0.39,1.0,1.0
2023-05-13,"Charlotte, North Carolina, USA",Welterweight,N,L,Tim Means,Alex Morono,0,0,0.45,0.35,1.0,0.0,0,1,0,0,0:46,0:00,188.0,170 lbs.,190.5,Orthodox,1984-02-20,4.93,47%,3.61,60%,1.21,44%,65%,0.2, 32-15-1 (1 NC),180.0,170 lbs.,182.88,Orthodox,1990-08-16,5.2,42%,4.14,57%,0.29,20%,50%,0.4, 23-8-0 (1 NC),87.0,40.0,0.45977011494252873,92.0,33.0,0.358695652173913,92.0,45.0,0.4891304347826087,102.0,42.0,0.4117647058823529,2.0,2.0,1.0,0.0,0.0,0.0,8.0,7.6200000000000045,39,33,0.65,0.55,1.0,0.0
2023-05-13,"Charlotte, North Carolina, USA",Welterweight,N,W,Matt Brown,Court McGee,1,0,0.73,0.25,0.0,1.0,0,0,0,0,0:02,1:57,183.0,170 lbs.,190.5,Orthodox,1981-01-10,3.76,55%,2.92,55%,1.68,46%,63%,1.3, 26-19-0,180.0,170 lbs.,190.5,Orthodox,1984-12-12,4.63,37%,3.68,60%,1.89,25%,69%,0.4, 22-12-0,15.0,11.0,0.7333333333333333,31.0,8.0,0.25806451612903225,26.0,22.0,0.8461538461538461,48.0,17.0,0.3541666666666667,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,42,38,0.75,0.27,0.0,1.0
2023-05-13,"Charlotte, North Carolina, USA",Heavyweight,N,W,Karl Williams,Chase Sherman,0,0,0.42,0.34,0.1,0.0,0,0,0,0,2:35,0:12,190.0,235 lbs.,200.66,Orthodox,1990-01-06,2.93,49%,1.8,62%,4.0,46%,100%,0.0, 9-1-0,193.0,250 lbs.,198.12,Orthodox,1989-11-16,6.04,45%,6.65,52%,0.09,50%,74%,0.0, 16-12-0,165.0,70.0,0.42424242424242425,158.0,54.0,0.34177215189873417,191.0,85.0,0.44502617801047123,170.0,64.0,0.3764705882352941,10.0,1.0,0.1,0.0,0.0,0.0,-3.0,2.539999999999992,33,33,0.6599999999999999,0.5800000000000001,1.0,0.9
2023-05-13,"Charlotte, North Carolina, USA",Catch Weight,N,L,Cody Stamann,Douglas Silva de Andrade,1,0,0.38,0.34,0.2,0.0,0,0,0,0,1:59,0:00,168.0,135 lbs.,162.56,Orthodox,1989-11-09,4.39,47%,3.63,62%,2.34,39%,76%,0.0, 21-6-1,170.0,135 lbs.,172.72,Orthodox,1985-06-22,3.66,38%,3.99,58%,0.61,46%,70%,0.2, 29-5-0 (1 NC),139.0,54.0,0.38848920863309355,178.0,61.0,0.34269662921348315,152.0,66.0,0.4342105263157895,189.0,72.0,0.38095238095238093,5.0,1.0,0.2,1.0,0.0,0.0,-2.0,-10.159999999999997,34,38,0.6599999999999999,0.62,1.0,0.8
